firstName,lastName,email,phoneNumber,password,specialty,role,createdAt,updatedAt
Dr.,Neha,dr..neha@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Gynaecology,Doctor,2025-01-11T17:42:14.061552+00:00,2025-01-11T17:42:14.061554+00:00
Dr.,Ruchi,dr..ruchi@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Gynaecology,Doctor,2025-01-11T17:42:14.061557+00:00,2025-01-11T17:42:14.061558+00:00
Dr.,Sandeep Rao,dr..sandeep rao@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Dermatology,Doctor,2025-01-11T17:42:14.061561+00:00,2025-01-11T17:42:14.061562+00:00
Dr.,Manish Agarwal,dr..manish agarwal@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Dermatology,Doctor,2025-01-11T17:42:14.061565+00:00,2025-01-11T17:42:14.061567+00:00
Dr.,Priya,dr..priya@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Dermatology,Doctor,2025-01-11T17:42:14.061570+00:00,2025-01-11T17:42:14.061571+00:00
Dr.,Arvind,dr..arvind@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Dermatology,Doctor,2025-01-11T17:42:14.061576+00:00,2025-01-11T17:42:14.061577+00:00
Dr.,Anjali Verma,dr..anjali verma@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Pediatrics,Doctor,2025-01-11T17:42:14.061580+00:00,2025-01-11T17:42:14.061581+00:00
Dr.,Sunil K,dr..sunil k@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Pediatrics,Doctor,2025-01-11T17:42:14.061584+00:00,2025-01-11T17:42:14.061585+00:00
Dr.,Nisha,dr..nisha@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Pediatrics,Doctor,2025-01-11T17:42:14.061588+00:00,2025-01-11T17:42:14.061589+00:00
Dr.,Divya,dr..divya@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Pediatrics,Doctor,2025-01-11T17:42:14.061592+00:00,2025-01-11T17:42:14.061593+00:00
Dr.,Arvind Kumar,dr..arvind kumar@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,ENT,Doctor,2025-01-11T17:42:14.061596+00:00,2025-01-11T17:42:14.061597+00:00
Dr.,Deepak,dr..deepak@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,ENT,Doctor,2025-01-11T17:42:14.061600+00:00,2025-01-11T17:42:14.061601+00:00
Dr.,Ravi R,dr..ravi r@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,ENT,Doctor,2025-01-11T17:42:14.061605+00:00,2025-01-11T17:42:14.061606+00:00
Dr.,Monika,dr..monika@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,ENT,Doctor,2025-01-11T17:42:14.061609+00:00,2025-01-11T17:42:14.061610+00:00
Dr.,Ritu Sharma,dr..ritu sharma@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Psychiatry,Doctor,2025-01-11T17:42:14.061613+00:00,2025-01-11T17:42:14.061614+00:00
Dr.,Vikram,dr..vikram@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Psychiatry,Doctor,2025-01-11T17:42:14.061617+00:00,2025-01-11T17:42:14.061618+00:00
Dr.,Meena,dr..meena@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Psychiatry,Doctor,2025-01-11T17:42:14.061621+00:00,2025-01-11T17:42:14.061622+00:00
Dr.,Devendra,dr..devendra@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Psychiatry,Doctor,2025-01-11T17:42:14.061626+00:00,2025-01-11T17:42:14.061627+00:00
Dr.,Ajay,dr..ajay@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,General Surgery,Doctor,2025-01-11T17:42:14.061630+00:00,2025-01-11T17:42:14.061631+00:00
Dr.,Ramesh,dr..ramesh@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,General Surgery,Doctor,2025-01-11T17:42:14.061634+00:00,2025-01-11T17:42:14.061635+00:00
Dr.,Nitin,dr..nitin@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,General Surgery,Doctor,2025-01-11T17:42:14.061638+00:00,2025-01-11T17:42:14.061639+00:00
Dr.,Rohit,dr..rohit@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,General Surgery,Doctor,2025-01-11T17:42:14.061642+00:00,2025-01-11T17:42:14.061643+00:00
Dr.,Pankaj,dr..pankaj@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Urology,Doctor,2025-01-11T17:42:14.061647+00:00,2025-01-11T17:42:14.061648+00:00
Dr.,Manoj,dr..manoj@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Urology,Doctor,2025-01-11T17:42:14.061651+00:00,2025-01-11T17:42:14.061652+00:00
Dr.,Shubham,dr..shubham@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Urology,Doctor,2025-01-11T17:42:14.061655+00:00,2025-01-11T17:42:14.061656+00:00
Dr.,Jatin,dr..jatin@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Urology,Doctor,2025-01-11T17:42:14.061659+00:00,2025-01-11T17:42:14.061660+00:00
